Family,Config (chosen in-sample),IS Sharpe,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,Skew,Kurtosis,AnnTurnover,Sharpe 95% CI lo,Sharpe 95% CI hi,DSR,SR hurdle (ann)
EqualWeight,EW monthly,1.0309844661146554,0.1588280505392199,0.17487330579910373,0.9306987150797216,1.1847637300590137,-0.3167555883744916,0.5014214630096495,-0.10055633900521091,13.712926070735996,0.0,0.4076598927325199,1.5301596221681217,0.9130062232013987,0.5495937891249844
XSMOM long-only,"lb=252,skip=0",1.190704387149278,0.21176026581092433,0.22475460513902884,0.9676782993051647,1.272946611060374,-0.32827450168202565,0.6450707098050529,-0.3778745064845207,7.171451893078498,5.086238532110092,0.4964640769772811,1.5135606128409045,0.9309101804693187,0.5495937891249844
XSMOM long-short,"lb=252,skip=0",0.1845683429870404,0.027718269741155543,0.11904402436979221,0.28934557492603863,0.3978817202914098,-0.2411400378696683,0.11494677526814004,-0.515654668280902,4.633091648149888,5.224954128440367,-0.24571802006381444,0.8238986489128058,0.17548573434336717,0.5495937891249844
TSMOM,lb=252,0.5011257741763855,0.051440505559727345,0.09573270592868892,0.5719887416989494,0.7165206568094626,-0.2005222186164165,0.2565326970480466,-0.6045412479092919,7.042876336054748,6.7894913527135685,0.057508693828542366,1.1452801731287332,0.5317545441968262,0.5495937891249844
ShortTermReversal,lb=10,0.3028940087780235,-0.04909074975886285,0.14141364104352241,-0.2853551409396115,-0.41736983692764346,-0.4983739595369131,-0.0985018354580118,0.3735811432527764,5.794207598607523,110.31349500080125,-0.7982923874842818,0.2273264236712248,0.0013666132021971553,0.5495937891249844
MA crossover,10/50,1.0899945154580906,0.07301476111159544,0.09203534844038078,0.8119549448961721,1.0041672986819197,-0.13533751746483846,0.53950125936487,-0.7964738616717669,7.932107255304766,6.326972477064221,0.3050169237232652,1.3678071004543866,0.8220977932254339,0.5495937891249844
RiskParity,vol_lb=30,0.9782742717173349,0.15238126851343003,0.15784084104053595,0.9778223465112968,1.2158845902698805,-0.30115442456673436,0.5059904689517954,-0.1582315799913194,16.044384476217417,2.137370630833292,0.46371823986207217,1.593610928224643,0.9360007297088726,0.5495937891249844
VolTarget EW,target=12%,1.1285421261684814,0.11841622711676769,0.11561955096187498,1.026062314598722,1.3920600427912566,-0.1389560736472878,0.8521846077584461,-0.45878505543203035,1.948585870598503,3.452418932910057,0.48501114719411254,1.5764287741734053,0.9542777123241418,0.5495937891249844
S&P 500 index (buy&hold),-,0.3970426532930843,0.09871802913707617,0.17811091933929896,0.6180699834413366,0.7530886370971129,-0.3392495902426059,0.29098938355822457,-0.49194575105826116,12.274994429714955,,0.14540740964842788,1.2093159377031522,,
