,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,Skew,Kurtosis,AnnTurnover
EqualWeight,0.13137177942632006,0.1960286464233027,0.7277737353717386,0.9531739967763592,-0.4840751122596191,0.2713871795909697,0.09900410338870382,11.044354038739872,
XSMOM long-only,0.18257406932719422,0.23519688277335568,0.8312079607126751,1.1216714768382203,-0.4702083720589325,0.38828332325888854,-0.3330274960178099,5.501063092272068,
XSMOM long-short,0.009218649768210518,0.13378651882915746,0.13577719076414452,0.17342122231127463,-0.4554989921663234,0.020238573359662605,-0.7680103809237704,5.931562353315021,
TSMOM,0.011965058051056632,0.11879931047192668,0.15983657927517234,0.18575210300817593,-0.4206590556053218,0.02844360032577713,-0.9800797927746162,20.882857265260505,
ShortTermReversal,-0.0382413279755589,0.15695190524178002,-0.17000515939389946,-0.23663434343145387,-0.8222358661787773,-0.04650895144392079,0.21957668122440918,10.541814333058038,
MA crossover,0.05736902474012062,0.09745402878477855,0.6213000473039969,0.7947714212039643,-0.23361855613208138,0.2455670717684163,-0.5559342705114392,5.982006586216363,
RiskParity,0.11466559661010045,0.1747580600457569,0.7086342579474756,0.9172447441975675,-0.44991265665581526,0.25486190466924347,0.1087187351638459,12.619490325252404,
VolTarget EW,0.09389060656775938,0.11767688517612772,0.8216467878179055,1.166018830500105,-0.24617601351475804,0.38139624257962373,-0.33150530047254917,1.4058735745131017,
